ARCH_frequency,mean_WT,mean_AT_min,aet_mm_syr,area,ari_ix_sav,run_mm_syr,pre_mm_syr,swc_pc_syr,cmi_ix_syr,tmp_dc_syr,ele_mt_sav,tmp_dc_smx
1.717948718,11.86293878,6.586177504457765,837.0327574416056,71.45664735831096,108.01746267330836,596.3489246802054,1133.894131753112,85.00446184445323,8.00567077155681,115.8897228680385,100.25398094530216,237.83996706487417
1.666666667,13.14649256,5.776451148846164,834.9039747767717,143.33259940680247,111.9139348671542,598.4000260479751,1143.3723389756717,86.9660929445113,10.913934867154175,107.047048846434,189.14472404190224,228.07752054601295
1.794871795,12.8852064,5.866589584281028,837.2140818053197,231.91210995314,111.4004191275415,621.2310240667722,1146.364762079526,86.6939236422639,10.402028677245154,108.15973538008232,160.23450882729594,230.1415004310495
1.820512821,13.51692081,6.07038019504761,836.5085921759517,754.3730995473628,110.76083562519024,607.497502277866,1142.376741369584,86.30935989388651,9.76553910490283,109.94296785892028,151.9636158524836,231.55622232173457
1.717948718,15.06735819,7.608164377803497,831.9719413391574,37.45367506263407,102.01324767945268,617.0446388676678,1097.048283105437,82.99703780372204,2.0132476794527023,124.9871049450791,21.09514960996977,246.9776952213406
1.820512821,13.84546967,8.187385701754891,840.0547252282406,291.7926773237171,99.0366727579832,568.3481988876553,1090.3955292176342,81.77809723326332,-0.9633272420168072,126.27460323604012,19.52277708285599,243.054712526116
1.846153846,10.64066625,1.6318781499459694,697.9408238902716,1140.7363656167197,90.0433038796501,426.5587670000585,842.7481815868961,79.65229540426037,-9.829989709426544,71.97787489686034,526.6854315134054,193.47590951847496
1.923076923,10.55119068,2.0616288241289364,677.1463810137794,553.1391597954504,86.3576378417134,451.95127046503984,812.977756360912,75.61934213709347,-13.642362158286604,74.98593661487153,493.1909957578176,196.64311393066876
2.051282051,10.6776011,2.5150860516582503,759.0280434310914,1015.4220990014326,111.69573011297258,521.5362049681289,1044.3818292249596,86.63795854956153,10.391885197819365,75.88102691492335,409.667868167714,199.5278854707433
1.948717949,11.50107905,2.3552713430492456,770.2717687942023,861.9400318266609,119.04396492842749,543.8316535892983,1095.2460326768562,88.83265611062406,15.32827274385732,73.2927734553663,473.23367778134207,196.0966702143552
2.256410256,12.92558762,2.115058873207537,733.8245603214737,28997.06468769729,105.18781475273848,539.9561876292402,976.9516660974342,84.41699357770572,3.803383951339674,73.18198961577704,442.3077188490068,196.83673318939137
2.025641026,10.6906157,2.9824267707739525,806.6078206458408,816.7387678090253,113.83918571009572,671.6440353367694,1117.2227514604194,86.77227060826003,11.69771799512744,81.59129567233653,526.7177580619729,200.93867430783487
1.897435897,8.451956613,1.812879305414001,758.6963420885575,119.83006890751513,105.9115059314946,575.7780310306989,1012.0128615971366,84.990510422046,5.902529528582848,75.00143523640459,543.845026700987,195.03816275497604
1.846153846,10.57259829,3.655751257675129,766.6464815472809,223.40485738197697,100.83456742910784,542.0165507775506,1003.0866157639658,82.90515532655672,0.8051387163024879,92.06724344725924,398.2780142559103,214.087160703978
1.897435897,11.02259688,1.7889803167364362,734.3575237205621,2448.855319995923,100.23436439027664,509.70776315778386,943.5430619940938,83.65102106989194,0.22277022099868696,72.76453726979645,555.4648402663171,193.4283533630791
1.820512821,9.546802162,2.0099226201101343,714.2695578666204,452.0360072799511,92.9617791254959,465.9252041919733,870.9146456409225,80.93765329253328,-7.038220874504114,74.551240581001,532.1917297121144,196.5607349109419
2.076923077,12.60552935,2.4268319696123424,769.2089846911101,14683.983380439618,105.44151413333644,580.2535382821424,1022.4923218497684,84.71269790343794,4.711333715405645,78.42673580562638,505.2721962536491,198.8423671562838
1.897435897,10.41091618,2.2211393682545713,726.7331247894613,1127.9063922344944,96.68167531851311,484.9936329206537,902.7290786645476,82.42692129027544,-3.612119089196086,74.87879473371672,516.6457542572499,196.60366016778343
1.846153846,10.66493401,3.4718816048337717,778.1814596657977,571.8375929753392,103.25211518912306,520.0970797084535,1019.4026748460408,83.73063244749702,2.718033741712858,85.13740553130042,480.85581059798466,205.19595454506177
1.461538462,11.65393008,7.197957825416842,861.8728169667144,6.48473761017137,103.9236901800286,539.4324223131713,1136.4912678668572,83.97456339334285,3.9236901800285824,121.0763098199714,110.32118396062882,241.0763098199714
1.871794872,13.91202471,7.529646541945217,844.3769636673767,905.7806802919162,97.57624654472696,521.3512887028585,1081.8847577793465,81.48464634694568,-2.4237534552730406,122.2807371929537,117.9700029941472,241.8932229118248
1.743589744,9.975427548,2.812606261792204,830.9492221732055,107.10487492287248,116.10335901281874,486.0118234549291,1155.7520800222233,87.63007564291524,14.059724164672865,82.66211444669719,791.8629404974946,192.81305045820784
1.897435897,13.53240803,4.3920018963495275,794.824978405141,570.295994018822,87.37768543593623,412.1973311640837,964.0061768485816,76.31231835825155,-12.626026906617826,102.2904087198007,408.9495114924144,216.54320567575564
2.179487179,14.20210896,3.7226293884272774,808.4028458968244,3781.072403723792,97.4235326654908,433.0306685127457,1030.2009812712563,80.42511764450475,-3.967600092384614,96.28407216766604,663.814037484365,206.30276695633785
1.871794872,13.65048441,4.30295390795795,791.4114553523783,1746.9748807973249,88.37385013294258,325.95817051432687,957.015536177728,77.83371663634203,-11.624101675651472,100.77134474354187,484.92079176836495,214.7868885965352
1.948717949,12.72194398,5.549266154959396,799.9957441001154,1308.1185484742246,96.93411388895234,430.08613283521913,1023.675387748046,80.98671675485136,-3.4195236984937516,105.689480769257,270.30222423292605,227.23541463891615
1.974358974,13.36676917,5.903720645449817,805.5577844516115,705.7259206979329,85.44683911735451,366.9077146714289,957.6438457909052,76.62288910924715,-14.553160882645477,114.54741479526729,197.9301924316159,233.7099916648752
1.743589744,13.69746279,4.843325609739713,785.0064246677786,37.16442342284906,82.00003710108966,370.5030875742204,932.12147639845,73.0071587649993,-17.99996289891033,110.99519947141935,479.45947778652413,223.002321135329
2.128205128,15.25579753,5.223449553839628,829.7489482610789,4227.643681779979,91.65461921396188,388.43297621384534,1024.0237571232738,79.14887722529986,-8.736634550737937,110.32921905268354,502.3813290458725,221.4140587284061
1.743589744,14.68446293,4.8490783069514265,789.9009063418707,1993.699118670082,83.78312618390713,341.19576492595934,947.763151224618,74.66992277757497,-16.217420266491228,108.86603762170913,449.5421883602932,221.15775780025768
2.076923077,15.24307217,5.220876474325385,815.8484925058159,7867.142604660909,88.74334684265243,371.3243372460041,994.667245318122,77.63508661291445,-11.471898766542184,110.43972525888516,442.2673506194994,222.98576397288423
1.871794872,13.30108397,7.357857687413268,830.9687366166871,14.21944267016718,89.97910804140582,443.8655326956614,1019.857074719425,78.99061992380251,-10.02089195859417,125.0166745119026,110.86902396186063,244.0094031590509
1.794871795,12.49141674,7.287640755008148,830.9698943763494,6.996298181277618,89.90968312904833,443.6387325161933,1019.5183100215912,78.96989437634946,-10.090316870951677,125.03010562365058,110.48820439794048,244.03010562365057
1.641025641,12.57591126,7.571429997255284,836,5.357701106899343,91,462.00000000000006,1033,79,-9,126,91,244.99999999999997
1.435897436,12.9610622,7.4253509148734835,849.8043030699989,33.93455373707527,95.96233381592852,501.5463059427629,1073.6952708306694,81,-4.037666184071483,126.91956808671924,71.07421519869867,245.95836750304355
1.717948718,14.09074558,7.8731501244719295,849.8592810838547,187.9051344515408,95.96702326105772,501.62705114397613,1073.7464543966648,80.99439663795593,-4.032976738942276,126.97510624607489,70.20941631231668,245.9856757447597
1.871794872,13.38125456,7.5278064859760345,825.0477214982685,60.65760475318499,89.99105196455089,437.0181115089795,1015.959594389056,78.99116422805113,-10.00894803544912,127.0013806521979,89.0716540361516,245.00545870603372
1.769230769,13.31150309,7.2366283500415545,830,10.861459175701016,87.00003838848231,432.0001919424116,1004.0000383884824,78,-12.999961611517683,125.99996161151768,94,244.9999616115177
1.666666667,13.80610854,7.932197466031735,830.413245684602,143.64004904035,93.09196038932204,430.7120754947463,1033.8954832638908,79.99353958395815,-6.908039610677961,131.03029672497985,52.62832656411895,246.08504889075544
